Entity 1,Relationship,Entity 2
Attention is all you need,has author,Ashish Vaswani
Attention is all you need,has author,Noam Shazeer
Attention is all you need,has author,Niki Parmar
Attention is all you need,has author,Jakob Uszkoreit
Attention is all you need,has author,Llion Jones
Attention is all you need,has author,Aidan N. Gomez
Attention is all you need,has author,Łukasz Kaiser
Attention is all you need,has author,Illia Polosukhin
Ashish Vaswani,associated with institution,Google Brain
Noam Shazeer,associated with institution,Google Brain
Niki Parmar,associated with institution,Google Research
Jakob Uszkoreit,associated with institution,Google Research
Llion Jones,associated with institution,Google Research
Aidan N. Gomez,associated with institution,University of Toronto
Łukasz Kaiser,associated with institution,Google Brain
Illia Polosukhin,associated with institution,Google Research
Attention is all you need,uses dataset,WMT 2014 English-to-German
Attention is all you need,uses dataset,WMT 2014 English-to-French
Attention is all you need,uses dataset,Penn Treebank (WSJ) for English Parsing
Attention is all you need,proposes method,Transformer
Attention is all you need,uses method,Multi-Head Attention
Attention is all you need,uses method,Scaled Dot-Product Attention
Attention is all you need,uses method,Self-Attention
Attention is all you need,uses method,Positional Encoding
Attention is all you need,uses method,Encoder-Decoder Architecture
Attention is all you need,uses method,Layer Normalization
Attention is all you need,uses method,Residual Connections
Attention is all you need,uses method,Adam Optimizer
Attention is all you need,uses method,Regularization
Attention is all you need,uses method,Dropout
Attention is all you need,uses method,Label Smoothing
Attention is all you need,uses method,Byte Pair Encoding (BPE)
Attention is all you need,uses method,Beam Search
Attention is all you need,uses evaluation metric,BLEU Score
Attention is all you need,uses evaluation metric,Perplexity
Attention is all you need,uses evaluation metric,F1 Score (Parsing Task)
Attention is all you need,achieved result,BLEU Score of 28.4 on English-to-German task
Attention is all you need,achieved result,BLEU Score of 41.8 on English-to-French task
Attention is all you need,achieved result,F1 Score of 91.3 on WSJ-only parsing task
Attention is all you need,achieved result,F1 Score of 92.7 on semi-supervised parsing task
Attention is all you need,achieved result,Reduced training cost compared to RNN-based models
Attention is all you need,achieved result,Improved parallelization over sequential models
Attention is all you need,addresses problem,High computational cost of RNNs
Attention is all you need,addresses problem,Sequential computation bottleneck in RNNs
Attention is all you need,addresses problem,Long-range dependency modeling
Attention is all you need,addresses problem,Difficulty in learning positional relationships in sequences
Transformer,uses component,Encoder
Transformer,uses component,Decoder
Encoder,uses layer,Self-Attention
Decoder,uses layer,Masked Self-Attention
Self-Attention,computes dependencies using,"Query, Key, and Value"
Multi-Head Attention,improves modeling,Multiple subspace representations
Positional Encoding,provides information on,Token sequence positions
Scaled Dot-Product Attention,enhances,Efficiency of attention computation
Layer Normalization,improves,Gradient flow during training
Attention is all you need,trained using hardware,8 NVIDIA P100 GPUs
Attention is all you need,trained for,3.5 days for the big model
Attention is all you need,trained for,12 hours for the base model
Attention is all you need,uses hyperparameter,Learning rate schedule with warmup steps
Attention is all you need,uses hyperparameter,Batch size of 25k tokens per language
Attention is all you need,replaces,Recurrent Neural Networks in sequence-to-sequence tasks
Attention is all you need,enables,Parallel computation during training
Attention is all you need,achieves,State-of-the-art results in machine translation
Attention is all you need,inspires development of,"BERT, GPT, and other transformer-based models"
Attention is all you need,cites paper,"Neural Machine Translation by Jointly Learning to Align and Translate (Bahdanau et al., 2014)"
Attention is all you need,cites paper,"Learning Phrase Representations using RNN Encoder-Decoder (Cho et al., 2014)"
Attention is all you need,cites paper,"Xception: Deep Learning with Depthwise Separable Convolutions (Chollet, 2016)"
Attention is all you need,cites paper,"GNMT: Google's Neural Machine Translation System (Wu et al., 2016)"
Attention is all you need,cites paper,"Convolutional Sequence to Sequence Learning (Gehring et al., 2017)"
Attention is all you need,cites paper,"ByteNet (Kalchbrenner et al., 2016)"
Attention is all you need,cites paper,"Deep Recurrent Models with Fast-Forward Connections (Zhou et al., 2016)"
Attention is all you need,cites paper,"Rethinking the Inception Architecture for Computer Vision (Szegedy et al., 2015)"
Attention is all you need,cites paper,"Using the Output Embedding to Improve Language Models (Press and Wolf, 2016)"
Attention is all you need,cites paper,"Massive Exploration of Neural Machine Translation Architectures (Britz et al., 2017)"
Attention is all you need,compares against,Recurrent Neural Networks
Attention is all you need,compares against,GNMT with Reinforcement Learning
Attention is all you need,compares against,Convolutional Neural Networks
Transformer Model,employs,Self-Attention Mechanism
Transformer Model,employs,Multi-Head Attention
Transformer Model,employs,Positional Encoding
Self-Attention Mechanism,part of,Encoder and Decoder Stacks
Multi-Head Attention,enhances,Self-Attention Mechanism
Positional Encoding,added to,Input Embeddings
Encoder,processes,Input Sequence
Decoder,generates,Output Sequence
Decoder,uses output of,Encoder
Training Data and Batching,necessary for,Model Training
Optimization Techniques,used during,Model Training
Regularization Techniques,prevent,Overfitting
Self-Attention Mechanism,allows,Parallel Processing
